"ID.","Patriot1","Hedon1","Curious3","Benev2","Selfdir3","Free1","Hedon3","Soceq4","Open2","Benev4","Hedon4","Conform2","Toler3","GPeace1","Stim3","Compet2","Work4","Soceq3","GPeace2","Selfcon1","Spirit3","Stim2","Toler2","Work3","Benev3","Commit3","Open4","Pragmat4","Democ1","Selfcon4","Curious1","Selfdir4","Commit1","Free2","Toler1","Conform3","Environ3","Hedon2","Work2","Open1","Patriot3","Selfdir2","Pergrow2","Free3","Compet4","Stim4","Soceq2","Frugal2","Conform1","Curious2","Pragmat2","Patriot2","Selfcon5","Curious4","Compet3","Aesth3","Pergrow3","Selfcon2","Aesth2","Commit2","Pragmat3","Democ2","Selfcon3","Commit4","Stim1","Frugal3","Benev1","Conform4","Compet1","Spirit1","Soceq1","Democ3","Curious5","Environ4","GPeace3","Work1","Pergrow1","Frugal1","Toler4","Selfdir1","Aesth1","Open3","Environ2","Pragmat1","Spirit2","Work5","Environ1","Finsec1","Family1","Wisdom4","Safe1","Achieve4","Power3","Compan1","Ipeace2","Love1","Safe2","Socacc3","Love2","Ipeace4","Power2","Prosper1","Compan3","Wisdom3","Family3","Power4","Achieve5","Safe3","Phywel2","Finsec3","Compan2","Socacc1","Ipeace3","Prosper3","Family2","Achieve1","Phywel3","Wisdom1","Prosper4","Socacc2","Compan4","Prosper2","Ipeace1","Achieve2","Phywel1","Achieve3","Wisdom2","Power1","Finsec2","Love3","Workethic","Wisdom","Tolerance","Stimulation","Spirituality","SocialJustice","SocialAcceptance","SelfDirection","SelfControl","PersonalSafety","Prosperity","Pragmatism","Power","PhysicalWellbeing","PersonalGrowth","Patriotism","Openness","MatureLove","InnerPeace","Hedonism","GlobalPeace","Frugality","Freedom","FinancialSecurity","FamilyTogetherness","Environmentalism","Democracy","Curiosity","Conformity","Competition","Companionship","Commitment","Benevolence","Aesthetics","Achievement","volunt","tv","intrnet","socmed","charit","excer","garden","impulse","eatout","pubtran","recycle","sportfan","attorg","commun","satjob","satlife","military","envichoi","authority","brandloyal","politics","gender","age","ethnicity","jobstatus","religion","Hhincome","retirement","educ","sexorien","marstatus"
11,6,4,9,8,8,7,4,8,8,7,4,9,7,9,8,7,9,8,9,8,8,4,7,9,8,8,9,8,9,9,5,8,8,8,7,7,9,4,9,9,7,9,9,9,7,1,8,9,6,9,9,8,9,9,1,6,9,9,9,9,9,9,8,8,5,9,8,5,6,5,8,9,6,9,9,9,9,9,5,8,9,8,9,9,7,7,9,9,8,9,9,8,6,8,8,9,9,8,9,9,4,5,9,9,8,7,8,9,9,6,8,8,9,6,8,8,9,9,1,9,8,6,9,7,9,8,9,4,9,9,8.6,9,6.5,3.33333333333333,6.66666666666667,8,8.33333333333333,8.25,8.6,9,4.5,8.75,5.25,9,9,7,8.5,9,9,4,9,9,8,8,8,9,9,7.6,6.75,5.25,8.25,8.25,7.75,8,7.8,1,2,2,0.5,0,2,0,200,6,30,91,5,4,3,1,4,6,5,5,3,5,"Female",23,"American-German                            ","Staff",5,"Below $20,000","None, I haven't started a retirement plan yet","college graduate","Heterosexual","single"
12,4,4,7,9,6,7,3,8,9,8,3,7,8,7,7,7,8,8,7,8,4,4,8,8,9,8,8,9,8,8,7,7,8,8,8,7,7,5,6,9,3,4,8,7,2,4,7,5,5,7,8,5,5,7,4,8,8,8,8,9,7,7,5,6,7,5,8,6,7,4,7,6,7,6,6,9,7,7,6,7,7,7,6,7,4,6,6,8,9,7,8,7,5,8,7,9,8,7,9,8,3,4,8,8,9,4,7,8,7,5,6,8,9,4,9,5,7,8,4,6,8,4,8,7,6,4,8,3,6,8,7.4,7.75,7.5,5,4,7.5,7,6,6.8,8,4,7.75,3.75,6.66666666666667,7.66666666666667,4,8.25,8.66666666666667,8.33333333333333,3.75,6.66666666666667,5.66666666666667,7.33333333333333,6.33333333333333,9,6.25,7,7,6.25,5,7.5,7.75,8.5,7.66666666666667,6,0,14,5,2,200,4,0,300,2,6,60,5,2,1,4,6,4,5,5,5,3,"Female",28,"White                                      ","Staff",5,"$60,000-$79,999","below $20,000","college graduate","Heterosexual","Married"
13,5,3,9,9,5,3,1,9,9,9,2,3,8,9,9,2,7,9,9,6,9,9,9,9,9,9,9,7,9,3,9,5,9,5,9,6,9,9,9,9,5,8,9,8,8,8,9,8,1,9,8,5,2,9,2,8,9,9,9,9,5,9,5,9,9,7,9,5,1,9,9,5,9,9,9,5,9,5,9,5,8,9,9,8,9,9,9,2,9,9,5,5,1,9,2,9,2,9,1,9,1,2,9,5,5,2,5,2,5,2,9,9,9,3,9,4,8,9,4,6,9,5,9,6,6,1,9,1,3,9,7.8,8,8.75,8.66666666666667,9,9,8,5.75,5,3,3.5,7,1.25,6.33333333333333,9,5,9,6.33333333333333,9,3.75,9,6.66666666666667,5.33333333333333,2.33333333333333,7.66666666666667,9,7.66666666666667,9,3.75,3.25,9,9,9,8.33333333333333,4.2,5,0,25,5,400,7,2,2500,1,10,100,3,4,7,4,7,6,7,2,1,1,"Female",36,"white                                      ","Staff",4,"Below $20,000","$20,000-$59,999","college graduate","Bisexual","Divorced"
14,9,5,8,9,9,8,2,9,9,7,4,5,7,9,8,8,9,9,9,8,3,8,9,8,8,9,9,8,9,7,8,9,9,9,9,8,7,8,9,9,9,8,9,5,8,7,9,8,7,8,9,8,9,8,4,4,8,8,8,9,9,9,6,9,8,5,9,6,5,5,9,8,9,7,6,9,7,2,8,9,8,9,8,8,5,5,8,8,9,9,9,7,4,9,9,9,9,7,9,9,3,4,9,9,9,4,5,9,9,8,9,9,9,9,9,5,9,7,5,7,9,9,9,4,9,4,8,4,8,9,8,8.25,8.25,7.66666666666667,4.33333333333333,9,7.66666666666667,8.75,7.6,9,6.75,8.5,3.75,9,8,8.66666666666667,9,9,9,4.75,8,5,7.33333333333333,8,9,7.5,8.66666666666667,8.2,6.5,6.25,9,9,8.25,6.66666666666667,5,0,1,5,1,240,7,0,500,12,0,80,7,7,6,6,6,7,5,2,4,1,"Female",30,"asian                                      ","Student",23,"$40,000-$59,999","below $20,000","college graduate","Heterosexual","single"
15,5,6,9,9,8,9,1,9,9,9,4,2,5,8,9,7,8,9,8,5,8,5,8,9,9,9,9,5,9,5,8,8,8,9,8,5,9,4,9,9,5,9,9,9,8,3,9,9,1,8,8,3,7,9,2,9,9,9,9,9,8,8,8,9,5,9,9,2,4,8,9,8,8,9,8,9,8,9,9,8,9,9,9,8,8,8,9,9,9,8,9,8,5,9,5,9,9,5,9,9,2,3,9,9,9,9,5,9,5,5,5,9,9,3,9,6,5,9,2,9,9,4,9,8,4,4,9,3,9,9,8.6,8.75,7.5,4.33333333333333,8,9,7.66666666666667,8.25,6.8,9,3,7.25,4.75,4.66666666666667,8.66666666666667,4.33333333333333,9,9,9,3.75,8,9,9,7.66666666666667,9,9,8.33333333333333,8.4,2.5,5.25,8,8.75,9,9,6.2,0,0,20,10,300,0,0,1000,4,0,100,1,5,1,7,6,7,7,1,1,2,"Female",25,"n/a                                        ","Student",5,"$20,000-$39,999","None, I haven't started a retirement plan yet","graduate degree","Bisexual","Married"
16,5,6,8,9,9,7,7,9,9,9,7,7,9,9,9,8,8,9,9,8,6,8,9,9,9,8,9,8,9,8,8,9,7,8,9,6,8,7,8,9,7,8,9,8,8,7,9,7,6,9,8,7,7,8,7,7,9,8,9,7,8,9,8,7,7,6,9,5,8,8,9,9,7,9,8,7,9,4,8,9,8,8,8,8,3,6,8,7,8,8,7,9,6,8,9,2,5,7,2,9,5,5,7,9,8,9,9,6,9,6,8,8,9,6,8,9,9,9,4,8,7,5,9,9,8,9,9,8,5,3,7.6,8.75,8.75,7.33333333333333,5.66666666666667,9,7.66666666666667,8.75,7.8,6,5,8,7,8.66666666666667,9,6.33333333333333,8.75,2.33333333333333,9,6.75,8.66666666666667,5.66666666666667,7.66666666666667,6,8,8.25,9,8,6,7.75,7.5,7.25,9,8,9,2,0,55,40,50,10,0,600,5,8,100,2,5,7,7,7,7,7,4,3,1,"Female",20,"White                                      ","Staff",1,"Below $20,000","None, I haven't started a retirement plan yet","some college","Heterosexual","single"
17,3,7,8,6,6,7,6,8,8,6,6,5,8,7,6,7,8,8,7,6,5,8,7,7,7,9,8,7,7,6,7,8,9,8,8,6,6,8,6,9,5,7,8,7,8,5,7,6,4,8,6,4,6,8,5,6,9,7,7,9,6,6,6,9,5,5,8,5,7,8,8,5,8,6,7,7,9,4,7,7,7,7,5,5,5,6,6,8,8,8,8,9,9,9,9,9,9,9,9,9,8,7,9,9,9,7,8,9,9,8,8,9,9,8,8,9,9,9,4,8,8,6,9,9,9,8,8,8,8,9,6.8,8.5,7.5,6,6,7.75,8.66666666666667,7,6.2,8.66666666666667,6.25,6,8,9,8.66666666666667,4,8,9,9,6.75,7,5,7.33333333333333,8,8.33333333333333,5.75,6,7.8,5,6.75,8.5,9,6.75,6.66666666666667,8.6,1,8,8,4,0,7,0,1000,2,5,95,5,6,6,6,6,6,6,5,3,2,"Female",22,"Hispanic/Latina                            ","Staff",5,"Below $20,000","None, I haven't started a retirement plan yet","some college","Heterosexual","single"
18,4,3,9,6,4,8,3,8,8,6,2,5,5,9,7,7,6,8,9,4,2,4,5,6,6,7,7,8,5,5,9,4,7,8,7,5,9,6,5,7,5,5,6,7,2,6,8,7,4,9,8,3,5,9,1,8,7,6,8,7,7,7,5,7,6,6,6,4,2,6,8,5,8,8,9,4,7,7,7,4,8,8,8,8,2,7,9,8,4,8,8,5,2,9,4,9,8,9,7,9,2,5,9,9,4,6,5,8,7,8,9,9,5,3,5,7,8,9,3,8,9,4,8,6,8,5,9,2,8,9,5.6,8.75,6,5.33333333333333,3.33333333333333,8,8.66666666666667,4.25,5,8,3.75,7.75,3,7.66666666666667,6.66666666666667,4,7.5,8.33333333333333,7.33333333333333,3.5,9,6.66666666666667,7.66666666666667,8,4.33333333333333,8.5,5.66666666666667,8.8,4.5,3,9,7,6,8,5.6,2,3,15,3,100,5,0,500,5,15,92,1,6,7,7,6,5,6,3,2,2,"Male",31,"Mixed race: Caucasian and African American ","Faculty",1,"$20,000-$39,999","below $20,000","graduate degree","Heterosexual","single"
19,8,4,8,9,7,3,1,8,7,9,1,3,3,3,6,3,8,9,5,7,8,3,6,8,9,9,9,8,7,8,9,4,9,3,6,8,8,3,8,9,6,6,9,6,3,2,4,8,2,8,9,8,6,8,1,8,6,9,9,9,8,7,8,9,1,9,9,3,1,8,8,8,2,9,6,9,8,9,4,8,9,9,8,9,8,9,9,3,9,8,8,3,1,7,4,9,3,2,9,9,1,3,8,9,9,3,3,3,8,3,2,6,8,1,9,2,8,8,1,4,7,1,8,7,8,1,9,1,8,9,8.4,8.5,4.75,2,8,7.25,4,6.25,7.6,4.66666666666667,1.5,8.5,1.5,8,7.66666666666667,7.33333333333333,8.5,9,8.33333333333333,2.25,4.66666666666667,8.66666666666667,4,4.66666666666667,9,8.5,7.33333333333333,7,4,2,6,9,9,8.66666666666667,3.2,4,0,5,0,13000,9,2,2000,6,6,97,6,6,6,6,6,1,6,1,6,5,"Male",66,"Norwegian/Irish    Caucasian               ","Faculty",5,"$150,000-$199,999","$500,000 and above","graduate degree","Heterosexual","Married"
20,5,1,7,8,7,7,1,7,8,8,1,4,8,7,7,2,8,6,7,8,8,6,7,8,8,7,8,8,7,8,6,7,7,8,8,8,5,2,8,8,5,7,8,7,7,1,7,4,3,7,8,5,8,8,3,7,9,8,6,7,7,6,8,8,6,2,8,2,2,9,8,5,6,4,6,8,9,2,8,8,5,8,5,5,9,8,5,2,9,8,8,7,2,8,3,9,8,6,9,8,2,2,8,8,9,6,6,8,8,2,6,7,8,2,9,5,8,8,1,3,7,2,9,5,8,2,8,2,2,8,8,8,7.75,4.33333333333333,8.66666666666667,7,5.33333333333333,7.25,8,8,1.75,7,3,8,8.66666666666667,5,8,8.66666666666667,8.33333333333333,1.25,6.66666666666667,2.66666666666667,7.33333333333333,2,9,4.75,6,6.8,4.25,3.5,7.25,7.25,8,6,5,4,6,10,1,50,6,0,500,4,5,95,1,2,5,7,7,3,5,2,4,4,"Female",21,"Caucasian, Middle Eastern                  ","Staff",5,"$100,000-$149,999","None, I haven't started a retirement plan yet","some college","Heterosexual","single"
21,8,1,8,7,6,9,1,3,7,7,1,3,4,4,5,2,7,6,3,6,9,4,5,6,6,6,6,6,3,9,5,6,7,8,5,6,5,5,5,6,6,7,8,6,3,3,4,5,4,7,4,5,4,4,2,4,7,4,5,4,5,3,4,6,3,6,5,5,4,8,5,4,4,4,4,4,8,6,5,5,5,7,4,8,7,4,4,9,3,7,9,2,2,5,9,7,9,3,9,9,2,2,5,8,3,6,5,9,6,6,4,7,7,3,3,8,8,8,2,7,7,5,9,5,5,6,7,2,5,6,5.2,7.5,4.75,3.33333333333333,8,4.5,5.66666666666667,6,5.4,9,3,5.75,3,6.33333333333333,7.66666666666667,6.33333333333333,6.5,7.33333333333333,8.33333333333333,2,3.66666666666667,5.66666666666667,7.66666666666667,6.66666666666667,3,4.25,3.33333333333333,5.6,4.5,2.75,5.25,5.75,6.25,4.66666666666667,5.2,0,3,8,2,500,3,0,300,2,16,90,7,7,7,4,4,3,6,3,7,5,"Male",29,"white/native american                      ","Non-university",5,"$60,000-$79,999","below $20,000","graduate degree","Heterosexual","Married"
22,7,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,7,7,7,2,8,8,8,8,9,9,8,8,8,8,7,8,7,8,6,8,8,7,9,7,8,7,7,7,8,8,8,2,8,7,5,8,7,5,4,7,7,7,9,7,5,5,8,8,4,8,4,7,2,8,3,6,7,7,7,7,4,7,7,7,8,7,7,2,5,6,7,9,5,7,7,7,7,7,9,7,5,9,8,5,7,8,7,9,8,7,8,8,7,7,7,7,5,9,7,8,7,3,6,7,7,7,7,8,7,7,5,7,9,7,6.5,7.75,8,2,7.75,6,7.5,7,7.33333333333333,5.5,7.25,6.25,8,7,6.33333333333333,8.5,9,7.33333333333333,7.75,7.33333333333333,5.33333333333333,7.33333333333333,7,9,7,5.33333333333333,7.4,4.75,6.75,7.25,8.5,8,6,7,0,10,5,2,400,6,0,100,4,0,79,7,6,5,3,7,7,7,5,5,2,"Female",26,"White                                      ","Non-university",23,"$20,000-$39,999","None, I haven't started a retirement plan yet","college graduate","Heterosexual","Partnered"
23,3,1,9,9,9,9,1,9,9,9,1,5,9,9,9,1,9,9,9,5,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,9,9,9,9,9,9,5,9,9,5,5,9,1,9,9,9,9,9,9,9,5,9,9,8,9,9,5,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,1,9,9,9,9,9,9,9,5,9,5,9,9,5,9,9,1,2,9,9,9,9,9,9,9,9,6,9,NA,1,9,9,9,9,1,5,9,5,9,9,9,1,9,1,9,9,9,9,9,9,3.66666666666667,9,6.33333333333333,8,6.6,9,2.25,9,4,9,9,4.33333333333333,9,9,9,3,9,7.33333333333333,9,9,9,9,9,9,7,4,8.25,9,9,9,7.4,1,5,1,5,100,3,1,100,1,20,100,1,1,2,6,6,6,7,2,1,1,"Female",53,"White                                      ","Faculty",5,"$100,000-$149,999","$20,000-$59,999","graduate degree","Heterosexual","Married"
